鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物),興隆路二段203巷151~180號,26.63,都市：其他:第二種住宅區。,,,1100102,土地4建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030808,95.63000000000001,2,2,1,有,有,15900000,166266,,0.0,0,陽台外推;其他增建;,RPUNMLRLJHGGFAA47DA,56.18,0.0,7.97,有,
萬華區,房地(土地+建物)+車位,內江街31~60號,13.19,都市：其他:第四種商業區。,,,1091219,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,179.73000000000002,3,2,1,有,有,36580000,218229,坡道機械,16.69,1000000,,RPPNMLKLKHGGFBA09DA,96.78,5.66,6.98,有,
內湖區,房地(土地+建物),星雲街168巷31~60號,5.0,都市：其他:第三種住宅區。,,,1100125,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,30.11,1,1,1,有,有,6600000,219196,,0.0,0,夾層;其他增建;,RPQSMLPLJHGGFCA57DA,15.7,0.53,3.75,有,5.0
內湖區,房地(土地+建物)+車位,民權東路六段121~150號,14.26,都市：其他:第三種商業區。,,,1091226,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,200.74,3,2,2,有,有,31200000,155425,坡道平面,0.0,0,,RPVRMLOJKHGGFCA77DA,100.17,2.75,3.79,有,
內湖區,房地(土地+建物)+車位,星雲街121~150號,14.08,都市：其他:第三種住宅區。,,,1091203,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931222,116.85,1,1,1,有,有,27500000,235344,坡道平面,28.03,0,其他增建;,RPTPMLRKKHGGFCA77DA,53.28,3.93,3.35,有,
中山區,房地(土地+建物)+車位,植福路286巷31~60號,66.87,都市：其他:娛樂區(供觀光旅館使用)。,,,1091225,土地1建物1車位3,二十五層,四十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031229,586.8,0,0,0,無,有,290000000,589516,坡道平面,113.7,11100000,,RPPOMLTKKHGGFCA47DA,298.86,1.43,33.45,有,
松山區,房地(土地+建物),八德路四段781~810號,11.14,都市：其他:第三種商業區。,,,1091206,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960724,113.97,3,2,2,有,有,28280000,248135,,0.0,0,,RPUNMLSJKHGGFDA77DA,76.22,1.93,3.74,有,
松山區,房地(土地+建物),復興北路1~30號,16.96,都市：其他:道路用地(公共設施用地)。48/3/13,,,1091231,土地3建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670817,208.36,5,0,5,有,有,28000000,134383,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;含租約;,RPRPMLRKKHGGFDA67DA,146.98,0.0,23.96,有,
士林區,房地(土地+建物)+車位,天母東路1~30號,78.56,都市：其他:第三種住宅區。,,,1100105,土地2建物1車位4,十二層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050920,694.4,4,2,5,有,有,285000000,458229,坡道平面,102.12,13600000,,RPVQMLRKKHGGFEA28DA,319.19,13.07,51.95,有,
北投區,房地(土地+建物),中山路1~30號,9.8,都市：其他:特定觀光商業專用區。,,,1091229,土地1建物1車位0,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920127,70.83,1,1,1,有,有,12200000,172243,,0.0,0,陽台外推;,RPSNMLSKKHGGFEA77DA,37.04,0.0,13.32,有,
