鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總件數,總車位數,平均總價元,平均車位總價元
文山區,房地(土地+建物),興隆路四段145巷61弄1~30號,43.21,都市：其他:第三種住宅區。,,,1100107,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780526,117.72,3,2,2,有,無,12500000,106184,,0.0,0,其他增建;,RPPOMLLLJHGGFAA09DA,98.76,0.3,10.99,無,,2,0,6250000,0
文山區,房地(土地+建物)+車位,政大二街121~150號,112.35,都市：其他:第二種住宅區。,,,1091211,土地1建物1車位2,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850824,251.91,5,2,2,有,有,23050000,91501,坡道平面,0.0,0,陽台外推;其他增建;,RPROMLMLJHGGFAA76DA,122.3,5.85,14.94,有,1.0,4,2,5762500,0
文山區,房地(土地+建物),興隆路二段203巷151~180號,26.63,都市：其他:第二種住宅區。,,,1100102,土地4建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030808,95.63000000000001,2,2,1,有,有,15900000,166266,,0.0,0,陽台外推;其他增建;,RPUNMLRLJHGGFAA47DA,56.18,0.0,7.97,有,,5,0,3180000,0
文山區,房地(土地+建物)+車位,萬芳路31~60號,150.06,都市：其他:第二種住宅區。,,,1100105,土地1建物1車位1,全,三層,透天厝,集合住宅、樓梯間、外廊、水箱、自有機械工具房、停車空間,鋼筋混凝土造,0920829,281.46000000000004,5,2,5,有,有,42500000,150998,坡道平面,0.0,0,,RPQPMLRKKHGGFAA27DA,237.97,2.88,17.51,有,,3,1,14166666,0
文山區,房地(土地+建物),萬美街二段31~60號,32.12,都市：其他:第二種住宅區。,,,1100117,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840830,106.41999999999999,2,2,2,有,有,12150000,114170,,0.0,0,法定空地其他增建;,RPQOMLSJKHGGFAA17DA,74.32,0.0,0.0,有,2.0,2,0,6075000,0
文山區,房地(土地+建物),政大一街181~210號,130.83,都市：其他:第二種住宅區。,,,1091227,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1000519,303.44,5,2,4,有,有,48500000,159834,,0.0,0,其他增建;,RPPOMLSKKHGGFAA17DA,251.94,5.26,27.69,無,,2,0,24250000,0
中正區,房地(土地+建物)+車位,汀州路三段61~90號,16.08,都市：其他:第三種住宅區。,,,1100127,土地2建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071122,143.74,0,0,0,無,有,37000000,324600,坡道平面,39.92,3300000,,RPSQMLSKKHGGFAA67DA,56.73,6.61,5.6,有,,4,1,9250000,3300000
文山區,房地(土地+建物),久康街169巷1~30號,19.28,都市：其他:第三種住宅區。,,,1100104,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090120,84.13,2,2,1,有,有,16880000,200642,,0.0,0,其他增建;,RPSNMLTKKHGGFAA47DA,40.74,6.77,4.61,有,3.0,2,0,8440000,0
文山區,房地(土地+建物),興隆路三段121~150號,6.39,都市：其他:第三種住宅區。,,,1100123,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970523,30.39,1,1,1,有,有,6680000,219809,,0.0,0,夾層;,RPOOMLTKKHGGFAA17DA,16.91,2.59,0.0,有,,2,0,3340000,0
中正區,房地(土地+建物),南昌路一段31~60號,15.98,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100103,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0780720,122.66,4,1,2,有,無,12880000,105006,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPRNMLKLKHGGFAA56DA,119.49,0.0,3.17,有,,2,0,6440000,0
萬華區,房地(土地+建物),寶興街61~90號,32.5,都市：其他:第三種住宅區。,,,1100109,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601220,90.06,4,1,2,有,無,12000000,133245,,0.0,0,其他增建;,RPOPMLLLJHGGFBA56DA,90.06,0.0,0.0,無,,3,0,4000000,0
大同區,房地(土地+建物),歸綏街151~180號,4.51,都市：其他:第三種商業區。,,,1091211,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791011,34.97,1,1,1,有,有,6500000,185874,,0.0,0,陽台外推;,RPPPMLSLJHGGFBA37DA,22.81,0.47,3.91,有,4.0,2,0,3250000,0
萬華區,房地(土地+建物),萬大路511~540號,27.25,都市：其他:第三之一種住宅區。,,,1100102,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,88.88,3,2,1,有,無,9010000,101373,,0.0,0,其他增建;,RPUQMLMLJHGGFBA37DA,88.88,0.0,0.0,無,,2,0,4505000,0
大同區,房地(土地+建物)+車位,民權西路181~210號,10.02,都市：其他:第四種住宅區。,,,1091221,土地3建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091202,95.52,2,2,1,有,有,20200000,211474,塔式車位,5.55,0,,RPVOMLSKKHGGFBA87DA,52.23,0.88,4.01,有,,5,1,4040000,0
